job_title,experience_years,salary_mid,source_name
mobile development engineer,1.0,20000.0,Kaggle_EgyTech_participants_data
data analytics,1.0,10400.0,Kaggle_EgyTech_participants_data
mobile development engineer,3.0,37500.0,Kaggle_EgyTech_participants_data
systems architect,15.0,142000.0,Kaggle_EgyTech_participants_data
embedded systems engineer,3.0,53000.0,Kaggle_EgyTech_participants_data
devops / sre / platform,4.0,150000.0,Kaggle_EgyTech_participants_data
product manager,16.0,75000.0,Kaggle_EgyTech_participants_data
full-stack engineer,3.0,22000.0,Kaggle_EgyTech_participants_data
backend engineer,5.0,47000.0,Kaggle_EgyTech_participants_data
frontend engineer,0.0,14850.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,10000.0,Kaggle_EgyTech_participants_data
backend engineer,0.0,8000.0,Kaggle_EgyTech_participants_data
mobile development engineer,4.0,46875.0,Kaggle_EgyTech_participants_data
backend engineer,0.0,22000.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,20800.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,10000.0,Kaggle_EgyTech_participants_data
data analytics,1.0,30000.0,Kaggle_EgyTech_participants_data
mobile development engineer,4.0,78000.0,Kaggle_EgyTech_participants_data
systems architect,14.0,74500.0,Kaggle_EgyTech_participants_data
data engineer,3.0,23000.0,Kaggle_EgyTech_participants_data
full-stack engineer,5.0,45000.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,18000.0,Kaggle_EgyTech_participants_data
full-stack engineer,14.0,31500.0,Kaggle_EgyTech_participants_data
frontend engineer,1.0,60000.0,Kaggle_EgyTech_participants_data
backend engineer,7.0,43000.0,Kaggle_EgyTech_participants_data
mobile development engineer,1.0,3000.0,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,16000.0,Kaggle_EgyTech_participants_data
frontend engineer,4.0,45100.0,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,27066.0,Kaggle_EgyTech_participants_data
mobile development engineer,1.0,12000.0,Kaggle_EgyTech_participants_data
backend engineer,3.0,60000.0,Kaggle_EgyTech_participants_data
product manager,6.0,124540.0,Kaggle_EgyTech_participants_data
product owner,2.0,18700.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,16000.0,Kaggle_EgyTech_participants_data
devops / sre / platform,2.0,35000.0,Kaggle_EgyTech_participants_data
mobile development engineer,2.0,21891.0,Kaggle_EgyTech_participants_data
frontend engineer,3.0,37500.0,Kaggle_EgyTech_participants_data
data analytics,1.0,12000.0,Kaggle_EgyTech_participants_data
