job_title_clean,salary_target,experience_years_clean,location_clean,work_mode_clean,level_clean,job_title_standardized
front end engineer,17700.0,0.5,Unknown,Unknown,Junior,front end engineer
back end engineer,22000.0,1.5,Unknown,Unknown,Junior,back end engineer
front end engineer,45000.0,6.0,Unknown,Unknown,Senior,front end engineer
full stack engineer,10500.0,0.5,Unknown,Unknown,Junior,full stack engineer
front end engineer,60000.0,7.0,Unknown,Unknown,Senior,front end engineer
front end engineer,100000.0,7.0,Unknown,Unknown,Lead/Manager,front end engineer
back end engineer,22000.0,2.5,Unknown,Unknown,Mid-Level,back end engineer
back end engineer,25000.0,1.5,Unknown,Unknown,Junior,back end engineer
front end engineer,38000.0,2.5,Unknown,Unknown,Mid-Level,front end engineer
"tester (manual, automation, api, selenium, playwright, ect..)",22500.0,4.0,Unknown,Unknown,Mid-Level,software testing engineer
full stack engineer,16000.0,1.5,Unknown,Unknown,Junior,full stack engineer
front end engineer,28500.0,4.0,Unknown,Unknown,Mid-Level,front end engineer
"tester (manual, automation, api, selenium, playwright, ect..)",10000.0,1.5,Unknown,Unknown,Junior,software testing engineer
front end engineer,25000.0,4.0,Unknown,Unknown,Senior,front end engineer
front end engineer,40250.0,2.5,Unknown,Unknown,Junior,front end engineer
full stack engineer,15000.0,0.5,Unknown,Unknown,Junior,full stack engineer
front end engineer,46000.0,4.0,Unknown,Unknown,Senior,front end engineer
back end engineer,25000.0,7.0,Unknown,Unknown,Senior,back end engineer
back end engineer,120000.0,6.0,Unknown,Unknown,Senior,back end engineer
"tester (manual, automation, api, selenium, playwright, ect..)",8000.0,0.5,Unknown,Unknown,Junior,software testing engineer
"tester (manual, automation, api, selenium, playwright, ect..)",50000.0,4.0,Unknown,Unknown,Senior,software testing engineer
back end engineer,135000.0,7.0,Unknown,Unknown,Lead/Manager,back end engineer
full stack engineer,50000.0,2.5,Unknown,Unknown,Mid-Level,full stack engineer
full stack engineer,40000.0,2.5,Unknown,Unknown,Mid-Level,full stack engineer
full stack engineer,23000.0,1.5,Unknown,Unknown,Junior,full stack engineer
full stack engineer,20000.0,0.5,Unknown,Unknown,Junior,full stack engineer
front end engineer,13000.0,1.5,Unknown,Unknown,Mid-Level,front end engineer
front end engineer,8000.0,0.5,Unknown,Unknown,Junior,front end engineer
back end engineer,38000.0,4.0,Unknown,Unknown,Mid-Level,back end engineer
"tester (manual, automation, api, selenium, playwright, ect..)",40000.0,1.5,Unknown,Unknown,Junior,software testing engineer
back end engineer,90000.0,6.0,Unknown,Unknown,Lead/Manager,back end engineer
front end engineer,70500.0,4.0,Unknown,Unknown,Senior,front end engineer
front end engineer,10000.0,0.5,Unknown,Unknown,Junior,front end engineer
"tester (manual, automation, api, selenium, playwright, ect..)",60000.0,4.0,Unknown,Unknown,Mid-Level,software testing engineer
back end engineer,18000.0,0.5,Unknown,Unknown,Junior,back end engineer
full stack engineer,15000.0,1.5,Unknown,Unknown,Junior,full stack engineer
"tester (manual, automation, api, selenium, playwright, ect..)",15000.0,1.5,Unknown,Unknown,Junior,software testing engineer
front end engineer,234000.0,6.0,Unknown,Unknown,Senior,front end engineer
full stack engineer,36000.0,1.5,Unknown,Unknown,Mid-Level,full stack engineer
full stack engineer,28000.0,4.0,Unknown,Unknown,Mid-Level,full stack engineer
back end engineer,26000.0,2.5,Unknown,Unknown,Mid-Level,back end engineer
back end engineer,35000.0,1.5,Unknown,Unknown,Junior,back end engineer
back end engineer,30000.0,0.5,Unknown,Unknown,Junior,back end engineer
full stack engineer,16000.0,0.5,Unknown,Unknown,Junior,full stack engineer
full stack engineer,14000.0,1.5,Unknown,Unknown,Junior,full stack engineer
full stack engineer,12000.0,1.5,Unknown,Unknown,Junior,full stack engineer
front end engineer,47500.0,4.0,Unknown,Unknown,Senior,front end engineer
back end engineer,32500.0,6.0,Unknown,Unknown,Senior,back end engineer
full stack engineer,30000.0,1.5,Unknown,Unknown,Junior,full stack engineer
full stack engineer,11070.0,0.5,Unknown,Unknown,Junior,full stack engineer
"tester (manual, automation, api, selenium, playwright, ect..)",100000.0,4.0,Unknown,Unknown,Senior,software testing engineer
full stack engineer,15000.0,0.5,Unknown,Unknown,Junior,full stack engineer
back end engineer,51350.0,14.0,Unknown,Unknown,Lead/Manager,back end engineer
front end engineer,12000.0,1.5,Unknown,Unknown,Junior,front end engineer
full stack engineer,22000.0,2.5,Unknown,Unknown,Junior,full stack engineer
full stack engineer,20500.0,0.5,Unknown,Unknown,Junior,full stack engineer
front end engineer,53000.0,2.5,Unknown,Unknown,Mid-Level,front end engineer
full stack engineer,30000.0,20.0,Unknown,Unknown,Lead/Manager,full stack engineer
full stack engineer,40000.0,4.0,Unknown,Unknown,Senior,full stack engineer
front end engineer,100000.0,4.0,Unknown,Unknown,Mid-Level,front end engineer
front end engineer,80000.0,4.0,Unknown,Unknown,Mid-Level,front end engineer
front end engineer,63000.0,6.0,Unknown,Unknown,Senior,front end engineer
back end engineer,7000.0,0.5,Unknown,Unknown,Junior,back end engineer
back end engineer,50000.0,6.0,Unknown,Unknown,Senior,back end engineer
full stack engineer,30000.0,2.5,Unknown,Unknown,Junior,full stack engineer
back end engineer,75000.0,6.0,Unknown,Unknown,Lead/Manager,back end engineer
