job_title,experience_years,salary_original,currency_detected,salary_mid,work_mode,city,source_name
fullstack developer (laravel & flutter),1.0,11000,EGP,11000.0,Hybird,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
fullstack developer laravel vue,1.0,8000,EGP,8000.0,On Site,Nasr City,Kaggle_Web_Developers_Salaries_Egypt_2024
fullstack developer laravel vue,3.0,25000,EGP,25000.0,Remotley,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
"full-stack engineer(spring, react)",1.0,11000,EGP,11000.0,Hybird,un-known,Kaggle_Web_Developers_Salaries_Egypt_2024
fullstack intern - java & angular,1.0,12000,EGP,12000.0,Remotley,un-known,Kaggle_Web_Developers_Salaries_Egypt_2024
fullstack vue + python,1.0,20000,EGP,20000.0,Remotley,Texas,Kaggle_Web_Developers_Salaries_Egypt_2024
gis frontend developer,4.0,12000,EGP,12000.0,Remotley,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
java backend,4.0,110000,EGP,110000.0,Hybird,Smart Village,Kaggle_Web_Developers_Salaries_Egypt_2024
java developer,1.0,81000,EGP,81000.0,Hybird,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
java developer,1.0,5000,EGP,5000.0,Hybird,Giza,Kaggle_Web_Developers_Salaries_Egypt_2024
java developer,1.0,38000,EGP,38000.0,Hybird,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
java developer,5.0,32000,EGP,32000.0,Hybird,un-known,Kaggle_Web_Developers_Salaries_Egypt_2024
java developer,1.0,37750,EGP,37750.0,On Site,Alexandria,Kaggle_Web_Developers_Salaries_Egypt_2024
java developer,0.0,50000,EGP,50000.0,On Site,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
java developer,2.0,13000,EGP,13000.0,On Site,Giza,Kaggle_Web_Developers_Salaries_Egypt_2024
java developer,0.0,29000,EGP,29000.0,On Site,Assiut,Kaggle_Web_Developers_Salaries_Egypt_2024
java developer,1.0,29500,EGP,29500.0,On Site,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
java developer,0.0,12000,EGP,12000.0,On Site,"Cairo, Riyadh",Kaggle_Web_Developers_Salaries_Egypt_2024
java developer,3.0,30000,EGP,30000.0,On Site,Giza,Kaggle_Web_Developers_Salaries_Egypt_2024
java developer,4.0,4000,EGP,4000.0,Remotley,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
java developer,2.0,28500,EGP,28500.0,Remotley,Smart Village,Kaggle_Web_Developers_Salaries_Egypt_2024
java full stack developer,1.0,22000,EGP,22000.0,Hybird,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
java software engineer,2.0,70000,EGP,70000.0,Hybird,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
javascript developer,1.0,20000,EGP,20000.0,On Site,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
javascript developer,3.0,30000,EGP,30000.0,On Site,un-known,Kaggle_Web_Developers_Salaries_Egypt_2024
javascript developer,1.0,24000,EGP,24000.0,On Site,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
laravel backend developer,4.0,20000,EGP,20000.0,Hybird,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
laravel full stack developer,1.0,7000,EGP,7000.0,Hybird,Giza,Kaggle_Web_Developers_Salaries_Egypt_2024
mearn stack -front end developer,1.0,8000,EGP,8000.0,On Site,Aswan,Kaggle_Web_Developers_Salaries_Egypt_2024
mern full stack developer,3.0,16000,EGP,16000.0,Hybird,October,Kaggle_Web_Developers_Salaries_Egypt_2024
mern full stack developer,3.0,28000,EGP,28000.0,On Site,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
netsuite technical developer (javascript developer),2.0,27000,EGP,27000.0,Remotley,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
node.js backend developer,1.0,15000,EGP,15000.0,Remotley,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
nodejs developer,2.0,14000,EGP,14000.0,Hybird,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
nodejs developer,1.0,7000,EGP,7000.0,Hybird,"Cairo, Maadi",Kaggle_Web_Developers_Salaries_Egypt_2024
nodejs developer,3.0,47000,EGP,47000.0,Hybird,Ksa,Kaggle_Web_Developers_Salaries_Egypt_2024
nodejs developer,2.0,85000,EGP,85000.0,On Site,Kafr El Sheikh,Kaggle_Web_Developers_Salaries_Egypt_2024
nodejs developer,1.0,9000,EGP,9000.0,On Site,New Damietta,Kaggle_Web_Developers_Salaries_Egypt_2024
nodejs developer,1.0,14000,EGP,14000.0,On Site,Giza,Kaggle_Web_Developers_Salaries_Egypt_2024
nodejs developer,1.0,15000,EGP,15000.0,Remotley,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
nodejs developer,2.0,10000,EGP,10000.0,Remotley,Dubai,Kaggle_Web_Developers_Salaries_Egypt_2024
nodejs developer,4.0,82000,EGP,82000.0,Remotley,Jeddah,Kaggle_Web_Developers_Salaries_Egypt_2024
nodejs developer,2.0,16000,EGP,16000.0,Remotley,un-known,Kaggle_Web_Developers_Salaries_Egypt_2024
nodejs developer,1.0,15000,EGP,15000.0,Hybird,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
nodejs developer,1.0,6000,EGP,6000.0,Remotley,Ksa,Kaggle_Web_Developers_Salaries_Egypt_2024
php developer,4.0,64000,EGP,64000.0,On Site,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
php developer,10.0,100000,EGP,100000.0,On Site,El Doqy,Kaggle_Web_Developers_Salaries_Egypt_2024
php developer,2.0,20000,EGP,20000.0,On Site,Mansoura,Kaggle_Web_Developers_Salaries_Egypt_2024
php developer,0.0,15000,EGP,15000.0,On Site,Ksa,Kaggle_Web_Developers_Salaries_Egypt_2024
php developer,1.0,11000,EGP,11000.0,Remotley,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
php developer,5.0,25000,EGP,25000.0,Remotley,Dubai,Kaggle_Web_Developers_Salaries_Egypt_2024
php developer,2.0,16000,EGP,16000.0,Remotley,Riyadh,Kaggle_Web_Developers_Salaries_Egypt_2024
php developer,0.0,9500,EGP,9500.0,Hybird,5Th Settelment,Kaggle_Web_Developers_Salaries_Egypt_2024
php developer,5.0,48000,EGP,48000.0,Remotley,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
rust backend developer,0.0,8000,EGP,8000.0,Remotley,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
software engineer (backend java),1.0,24000,EGP,24000.0,On Site,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
software engineer (full stack / .net),2.0,66000,EGP,66000.0,Remotley,Canada,Kaggle_Web_Developers_Salaries_Egypt_2024
software engineer stack java,1.0,15000,EGP,15000.0,Hybird,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
teamlead backend developer php,3.0,15000,EGP,15000.0,On Site,Mansoura,Kaggle_Web_Developers_Salaries_Egypt_2024
web developer,3.0,40000,EGP,40000.0,Hybird,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
web developer,2.0,10000,EGP,10000.0,Hybird,Giza,Kaggle_Web_Developers_Salaries_Egypt_2024
web developer,0.0,5000,EGP,5000.0,On Site,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
web developer,1.0,9000,EGP,9000.0,Remotley,Ksa,Kaggle_Web_Developers_Salaries_Egypt_2024
wordpress developer,4.0,14000,EGP,14000.0,Hybird,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
wordpress developer,3.0,30000,EGP,30000.0,On Site,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
wordpress developer,3.0,40000,EGP,40000.0,Remotley,Uae,Kaggle_Web_Developers_Salaries_Egypt_2024
