job_title,experience_years,salary_mid,work_mode,city,salary_date,source_name
backend engineer,3.0,47900.0,Hybrid,Cairo,2024-04-02 13:17:41,Kaggle_EgyTech_participants_data
backend engineer,2.0,45505.0,Hybrid,Cairo,2024-04-02 13:20:04,Kaggle_EgyTech_participants_data
backend engineer,1.0,18000.0,Remote/Egypt,Cairo,2024-04-02 13:23:11,Kaggle_EgyTech_participants_data
mobile development engineer,4.0,30000.0,Hybrid,Cairo,2024-04-02 13:26:25,Kaggle_EgyTech_participants_data
backend engineer,0.0,14750.0,Remote/Egypt,Cairo,2024-04-02 13:27:08,Kaggle_EgyTech_participants_data
product manager,3.0,15600.0,Remote/Egypt,Cairo,2024-04-02 13:28:00,Kaggle_EgyTech_participants_data
qa / sdet engineer,2.0,16000.0,Remote/Egypt,Cairo,2024-04-02 13:28:18,Kaggle_EgyTech_participants_data
mobile development engineer,4.0,35925.0,Hybrid,Alexandria,2024-04-02 13:30:07,Kaggle_EgyTech_participants_data
full-stack engineer,4.0,22750.0,Hybrid,Cairo,2024-04-02 13:31:49,Kaggle_EgyTech_participants_data
ai & automation engineer,1.0,23000.0,Hybrid,Cairo,2024-04-02 13:32:05,Kaggle_EgyTech_participants_data
backend engineer,7.0,95800.0,Hybrid,Cairo,2024-04-02 13:35:25,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,35000.0,Hybrid,Cairo,2024-04-02 13:36:10,Kaggle_EgyTech_participants_data
frontend engineer,2.0,67778.5,Remote/Egypt,Alexandria,2024-04-02 13:36:25,Kaggle_EgyTech_participants_data
ui/ux designer/engineer,3.0,18000.0,Office,Cairo,2024-04-02 13:37:01,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,8000.0,Remote/Egypt,No site in Egypt,2024-04-02 13:38:44,Kaggle_EgyTech_participants_data
qa / sdet engineer,1.0,17670.0,Hybrid,Cairo,2024-04-02 13:43:19,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,14500.0,Remote/Egypt,Cairo,2024-04-02 13:43:22,Kaggle_EgyTech_participants_data
backend engineer,3.0,45500.0,Hybrid,Cairo,2024-04-02 13:43:38,Kaggle_EgyTech_participants_data
full-stack engineer,3.0,13000.0,Office,Cairo,2024-04-02 13:43:43,Kaggle_EgyTech_participants_data
qa / sdet engineer,3.0,36800.0,Hybrid,Alexandria,2024-04-02 13:44:17,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,28000.0,Office,Cairo,2024-04-02 13:44:26,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,22000.0,Remote/Egypt,Cairo,2024-04-02 13:44:48,Kaggle_EgyTech_participants_data
frontend engineer,4.0,32000.0,Hybrid,Cairo,2024-04-02 13:45:13,Kaggle_EgyTech_participants_data
full-stack engineer,0.0,13000.0,Hybrid,Alexandria,2024-04-02 13:45:40,Kaggle_EgyTech_participants_data
devops / sre / platform,2.0,20000.0,Hybrid,Cairo,2024-04-02 13:48:52,Kaggle_EgyTech_participants_data
mobile development engineer,4.0,30000.0,Remote/Egypt,Cairo,2024-04-02 13:52:14,Kaggle_EgyTech_participants_data
backend engineer,3.0,12000.0,Office,Mansoura,2024-04-02 13:52:38,Kaggle_EgyTech_participants_data
mobile development engineer,1.0,18000.0,Hybrid,Cairo,2024-04-02 13:52:44,Kaggle_EgyTech_participants_data
ui/ux designer/engineer,3.0,32000.0,Hybrid,Cairo,2024-04-02 13:54:14,Kaggle_EgyTech_participants_data
full-stack engineer,3.0,38320.0,Hybrid,Cairo,2024-04-02 13:54:48,Kaggle_EgyTech_participants_data
ui/ux designer/engineer,8.0,44000.0,Hybrid,Cairo,2024-04-02 13:55:36,Kaggle_EgyTech_participants_data
devops / sre / platform,6.0,51000.0,Hybrid,Cairo,2024-04-02 13:56:36,Kaggle_EgyTech_participants_data
backend engineer,2.0,16000.0,Remote/Egypt,Cairo,2024-04-02 13:56:44,Kaggle_EgyTech_participants_data
mobile development engineer,6.0,42000.0,Hybrid,Cairo,2024-04-02 13:57:29,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,10400.0,Office,Damietta,2024-04-02 14:00:08,Kaggle_EgyTech_participants_data
backend engineer,4.0,25350.0,Hybrid,Cairo,2024-04-02 14:02:10,Kaggle_EgyTech_participants_data
frontend engineer,2.0,28800.0,Remote/Egypt,Cairo,2024-04-02 14:05:28,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,13000.0,Office,Cairo,2024-04-02 14:06:33,Kaggle_EgyTech_participants_data
full-stack engineer,4.0,41457.0,Remote/Egypt,Cairo,2024-04-02 14:07:25,Kaggle_EgyTech_participants_data
frontend engineer,2.0,18000.0,Hybrid,Cairo,2024-04-02 14:12:08,Kaggle_EgyTech_participants_data
full-stack engineer,9.0,103751.4,Hybrid,Cairo,2024-04-02 14:13:20,Kaggle_EgyTech_participants_data
devops / sre / platform,1.0,17550.0,Hybrid,Cairo,2024-04-02 14:13:51,Kaggle_EgyTech_participants_data
backend engineer,4.0,40000.0,Hybrid,Cairo,2024-04-02 14:14:00,Kaggle_EgyTech_participants_data
ai & automation engineer,1.0,17000.0,Remote/Egypt,Cairo,2024-04-02 14:15:59,Kaggle_EgyTech_participants_data
full-stack engineer,3.0,50295.0,Remote/Egypt,Alexandria,2024-04-02 14:16:36,Kaggle_EgyTech_participants_data
backend engineer,1.0,25000.0,Remote/Egypt,Cairo,2024-04-02 14:17:20,Kaggle_EgyTech_participants_data
backend engineer,4.0,44000.0,Remote/Egypt,Cairo,2024-04-02 14:17:48,Kaggle_EgyTech_participants_data
embedded systems engineer,3.0,56500.0,Hybrid,Cairo,2024-04-02 14:18:54,Kaggle_EgyTech_participants_data
backend engineer,1.0,160000.0,Hybrid,Cairo,2024-04-02 14:20:44,Kaggle_EgyTech_participants_data
devops / sre / platform,2.0,29370.0,Remote/Egypt,Cairo,2024-04-02 14:21:05,Kaggle_EgyTech_participants_data
backend engineer,3.0,36000.0,Hybrid,Cairo,2024-04-02 14:21:13,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,8000.0,Remote/Egypt,Cairo,2024-04-02 14:22:20,Kaggle_EgyTech_participants_data
devops / sre / platform,2.0,39000.0,Hybrid,Cairo,2024-04-02 14:22:40,Kaggle_EgyTech_participants_data
ui/ux designer/engineer,3.0,10000.0,Remote/Egypt,Cairo,2024-04-02 14:23:34,Kaggle_EgyTech_participants_data
"r&d engineer (computer vision, nlp, etc.)",1.0,57480.0,Hybrid,Cairo,2024-04-02 14:24:56,Kaggle_EgyTech_participants_data
technical support,1.0,11850.0,Remote/Egypt,Cairo,2024-04-02 14:29:01,Kaggle_EgyTech_participants_data
backend engineer,2.0,35925.0,Hybrid,Cairo,2024-04-02 14:31:56,Kaggle_EgyTech_participants_data
frontend engineer,3.0,12100.0,Hybrid,Mansoura,2024-04-02 14:33:28,Kaggle_EgyTech_participants_data
backend engineer,0.0,4000.0,Remote/Egypt,No site in Egypt,2024-04-02 14:33:43,Kaggle_EgyTech_participants_data
"hardware engineer (semiconductors, digital design, electronics, etc)",5.0,92686.5,Hybrid,Cairo,2024-04-02 14:34:57,Kaggle_EgyTech_participants_data
ui/ux designer/engineer,3.0,15750.0,Office,Cairo,2024-04-02 14:36:11,Kaggle_EgyTech_participants_data
backend engineer,4.0,34000.0,Hybrid,Cairo,2024-04-02 14:37:14,Kaggle_EgyTech_participants_data
full-stack engineer,7.0,86220.0,Remote/Egypt,Cairo,2024-04-02 14:38:52,Kaggle_EgyTech_participants_data
backend engineer,4.0,50000.0,Hybrid,Cairo,2024-04-02 14:39:51,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,18000.0,Hybrid,Cairo,2024-04-02 14:39:53,Kaggle_EgyTech_participants_data
embedded systems engineer,1.0,51492.5,Hybrid,Cairo,2024-04-02 14:42:36,Kaggle_EgyTech_participants_data
data analytics,1.0,15000.0,Hybrid,Cairo,2024-04-02 14:43:09,Kaggle_EgyTech_participants_data
mobile development engineer,2.0,15500.0,Remote/Egypt,Cairo,2024-04-02 14:43:42,Kaggle_EgyTech_participants_data
product manager,3.0,97900.0,Hybrid,Cairo,2024-04-02 14:45:29,Kaggle_EgyTech_participants_data
full-stack engineer,7.0,50000.0,Hybrid,Cairo,2024-04-02 14:46:08,Kaggle_EgyTech_participants_data
full-stack engineer,4.0,38000.0,Hybrid,Cairo,2024-04-02 14:47:21,Kaggle_EgyTech_participants_data
frontend engineer,4.0,61975.0,Hybrid,Cairo,2024-04-02 14:47:23,Kaggle_EgyTech_participants_data
backend engineer,2.0,19000.0,Hybrid,Cairo,2024-04-02 14:48:22,Kaggle_EgyTech_participants_data
mobile development engineer,2.0,24860.1,Hybrid,Cairo,2024-04-02 14:49:51,Kaggle_EgyTech_participants_data
