job_title,experience_years,salary_original,currency_detected,salary_original_numeric,salary_mid,work_mode,city,salary_date,source_name
back-end developer,5.0,55000,EGP,55000.0,55000.0,Hybird,Cairo,2023-10-04,Kaggle_egyptian_salaries_2024
devops,9.0,25k ,EGP,25000.0,25000.0,Hybird,Cairo,2024-02-20,Kaggle_egyptian_salaries_2024
data analyst,3.0,13000,EGP,13000.0,13000.0,On Site,"Giza,Cairo,suez,",2024-02-20,Kaggle_egyptian_salaries_2024
ios developer,3.0,16000,EGP,16000.0,16000.0,Hybird,Saudi Arabia,2023-12-01,Kaggle_egyptian_salaries_2024
data engineer,2.0,15000,EGP,15000.0,15000.0,Hybird,cairo,2024-01-05,Kaggle_egyptian_salaries_2024
junior software tester,2.0,5000,EGP,5000.0,5000.0,On Site,mansoura,2024-02-29,Kaggle_egyptian_salaries_2024
.net developer,1.0,6000,EGP,6000.0,6000.0,On Site,Mansoura,2023-04-16,Kaggle_egyptian_salaries_2024
data engineer,0.08,10000,EGP,10000.0,10000.0,Hybird,"France , Egypt , UAE and so on",2024-02-20,Kaggle_egyptian_salaries_2024
.net developer,2.0,10000,EGP,10000.0,10000.0,On Site,Mansoura,2024-02-20,Kaggle_egyptian_salaries_2024
.net developer,1.0,15000,EGP,15000.0,15000.0,Hybird,Cairo,2024-02-20,Kaggle_egyptian_salaries_2024
java developer,0.0,24000 net,EGP,24000.0,24000.0,Hybird,Cairo,2024-02-01,Kaggle_egyptian_salaries_2024
sre,1.0,16000,EGP,16000.0,16000.0,Remotley,Cairo,2023-07-15,Kaggle_egyptian_salaries_2024
ios developer,0.0,9000,EGP,9000.0,9000.0,Hybird,Cairo,2024-05-26,Kaggle_egyptian_salaries_2024
junior embedded systems,0.0,28000,EGP,28000.0,28000.0,On Site,Smart village,2024-02-20,Kaggle_egyptian_salaries_2024
full stack (laravel-vuejs),3.0,25000,EGP,25000.0,25000.0,Remotley,Cairo,2024-01-01,Kaggle_egyptian_salaries_2024
.net developer,2.0,20,EGP,20.0,20.0,Hybird,Cairo,2024-02-01,Kaggle_egyptian_salaries_2024
devops engineer,1.0,16000,EGP,16000.0,16000.0,Hybird,Cairo,2024-02-01,Kaggle_egyptian_salaries_2024
ios developer,3.0,25000,EGP,25000.0,25000.0,Hybird,Cairo,2024-01-01,Kaggle_egyptian_salaries_2024
software tester,3.0,20k,EGP,20000.0,20000.0,Hybird,Cairo,2024-01-31,Kaggle_egyptian_salaries_2024
android developer,1.0,17k,EGP,17000.0,17000.0,Hybird,Cairo,2024-02-20,Kaggle_egyptian_salaries_2024
full-stack developer,3.0,900$,USD,900.0,45000.0,Remotley,"Riyadh, Saudi Arabia",2023-11-01,Kaggle_egyptian_salaries_2024
software tester,1.0,9000,EGP,9000.0,9000.0,On Site,Cairo,2024-11-02,Kaggle_egyptian_salaries_2024
data analytics engineer,1.5,16500,EGP,16500.0,16500.0,Hybird,Cairo,2024-01-01,Kaggle_egyptian_salaries_2024
. net fullstack developer,2.0,640 usd,USD,640.0,32000.0,On Site,,2023-11-13,Kaggle_egyptian_salaries_2024
android developer,1.0,700$,USD,700.0,35000.0,Remotley,Iraq,2025-02-01,Kaggle_egyptian_salaries_2024
frontend developer,2.0,3500,EGP,3500.0,3500.0,Remotley,Alexandria,2024-02-20,Kaggle_egyptian_salaries_2024
php laravel developer,4.0,14000,EGP,14000.0,14000.0,Remotley,Dubai,2024-02-07,Kaggle_egyptian_salaries_2024
bi developer,2.0,24000,EGP,24000.0,24000.0,Remotley,Cairo,2024-02-20,Kaggle_egyptian_salaries_2024
flutter developer,0.33,4000,EGP,4000.0,4000.0,On Site,Cairo,2023-11-10,Kaggle_egyptian_salaries_2024
devops engineer,1.0,17000,EGP,17000.0,17000.0,Hybird,Cairo,2024-02-20,Kaggle_egyptian_salaries_2024
business development engineer,3.0,12500 LE,EGP,12500.0,12500.0,On Site,Cairo,2024-01-01,Kaggle_egyptian_salaries_2024
senior devops engineer,3.0,47000,EGP,47000.0,47000.0,Hybird,Cairo,2024-02-28,Kaggle_egyptian_salaries_2024
mid level java,2.0,28500,EGP,28500.0,28500.0,Remotley,Smart Village,2024-02-20,Kaggle_egyptian_salaries_2024
juniot front end developer,3.0,23000,EGP,23000.0,23000.0,Hybird,Maadi,2024-01-28,Kaggle_egyptian_salaries_2024
php developer,3.0,30000,EGP,30000.0,30000.0,On Site,Cairo,2023-02-01,Kaggle_egyptian_salaries_2024
java developer,0.0,12k,EGP,12000.0,12000.0,On Site,"Cairo, elryad",2024-02-01,Kaggle_egyptian_salaries_2024
rract native,3.0,60000,EGP,60000.0,60000.0,Remotley,Riyadh,2023-09-01,Kaggle_egyptian_salaries_2024
computer vision,1.5,16000,EGP,16000.0,16000.0,Remotley,giza,2024-02-20,Kaggle_egyptian_salaries_2024
data analyst,3.0,24000,EGP,24000.0,24000.0,On Site,,2024-02-20,Kaggle_egyptian_salaries_2024
dotnet developer,4.0,30K,EGP,30000.0,30000.0,Hybird,KSA,2024-02-01,Kaggle_egyptian_salaries_2024
flutter developer,2.0,18000,EGP,18000.0,18000.0,Remotley,United States,2014-01-01,Kaggle_egyptian_salaries_2024
software engineer,0.0,25000,EGP,25000.0,25000.0,Remotley,Cairo,2024-02-01,Kaggle_egyptian_salaries_2024
data analysis,0.0,16000,EGP,16000.0,16000.0,On Site,Cairo,2024-01-01,Kaggle_egyptian_salaries_2024
frontend react,0.5,4000,EGP,4000.0,4000.0,Hybird,Giza,2024-01-01,Kaggle_egyptian_salaries_2024
