Title,Company,Location,Salary,Experience,Job_Type,Skills,URL
Senior Automation Engineer,Kmt for Industrial Services,"Maadi, Cairo",25000 To 35000 EGP,5 To 7 Years,N/A,PLC Programming,https://wuzzuf.net/jobs/p/vpqd4uwbm1zl-senior-automation-engineer-kmt-for-industrial-services-cairo-egypt
Thermodynamics Engineer,WireHire,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,mechanical engineering,https://wuzzuf.net/jobs/p/g/4hargn1ecyau-thermodynamics-engineer-wirehire-dubai-united-arab-emirates
Design Engineer,Al ayat for printing and packaging,"Hawamdeyya, Giza",Confidential,More Than 5 Years,N/A,CAD Design,https://wuzzuf.net/jobs/p/4vyqmb5lyxgn-design-engineer-al-ayat-for-printing-and-packaging-giza-egypt
Senior Electrical Systems Engineer,Orbitworks,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Engineering,https://wuzzuf.net/jobs/p/g/uqncrubzswdm-senior-electrical-systems-engineer-orbitworks-dubai-united-arab-emirates
Production Supervisor,Al Baraka Paper Converting Co.,"6th of October, Giza",14000 To 20000 EGP,5 To 8 Years,N/A,Production supervision,https://wuzzuf.net/jobs/p/skrklsxd562v-production-supervisor-al-baraka-paper-converting-co-giza-egypt
Light Current Engineer,Amer Vision Group,"Sheraton, Cairo",Confidential,2 To 5 Years,N/A,Light Current Systems Design,https://wuzzuf.net/jobs/p/tgx0uae1zd4b-light-current-engineer-amer-vision-group-cairo-egypt
Technical Service Engineer,Torrecid Egypt SAE,"Sheikh Zayed, Giza",Confidential,1 To 3 Years,N/A,Chemical Engineering,https://wuzzuf.net/jobs/p/deylnwnfmvyp-technical-service-engineer-torrecid-egypt-sae-giza-egypt
Remote Data Entry Management & Operations Assistant,Loyal To Cumbria,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,microsoft office,https://wuzzuf.net/jobs/p/g/jqvx6xnwknzh-remote-data-entry-management-operations-assistant-loyal-to-cumbria-dubai-united-arab-emirates
Treasury Manager,Alturki Holding,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Accounting,https://wuzzuf.net/saudi/jobs/p/g/e1bz76mhjcpf-treasury-manager-alturki-holding-riyadh-saudi-arabia
Business Development Manager,BSI,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Business Development,https://wuzzuf.net/saudi/jobs/p/g/siqfutinqxrw-business-development-manager-bsi-riyadh-saudi-arabia
Junior Technical Office Architectural Engineer,EGYGAB Developments,"Heliopolis, Cairo",Confidential,2 To 4 Years,N/A,Architectural Engineering,https://wuzzuf.net/jobs/p/fqogy4spb4so-junior-technical-office-architectural-engineer-egygab-developments-cairo-egypt
Project Engineer (Offshore),Penspen,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Project Management,https://wuzzuf.net/saudi/jobs/p/g/jiqzq1sgw3pc-project-engineer-offshore-penspen-riyadh-saudi-arabia
Production Planning Section Head,EGIC,"6th of October, Giza",Confidential,More Than 8 Years,N/A,Engineering,https://wuzzuf.net/jobs/p/ycbmwo1cje1f-production-planning-section-head-egic-giza-egypt
